"name","Closing price","Volume","Adjusted closing price","date"
"A",42.62,3971606,42.62,2015-04-23
"A",42.49,2181579,42.49,2015-04-24
"A",41.98,2297836,41.98,2015-04-27
"A",42.18,1796203,42.18,2015-04-28
"A",41.96,2061730,41.96,2015-04-29
"A",41.37,1685283,41.37,2015-04-30
"A",41.83,1878757,41.83,2015-05-01
"A",41.94,1073820,41.94,2015-05-04
"A",41.59,1254801,41.59,2015-05-05
"A",41.59,934611,41.59,2015-05-06
"A",41.8,999682,41.8,2015-05-07
"A",42.5,1034717,42.5,2015-05-08
"A",42.62,975490,42.62,2015-05-11
"A",41.91,2617833,41.91,2015-05-12
"A",41.81,1989976,41.81,2015-05-13
"A",42.05,2883667,42.05,2015-05-14
"A",42.04,2144187,42.04,2015-05-15
"A",42.63,1927698,42.63,2015-05-18
"A",42.37,5265755,42.37,2015-05-19
"A",42.61,2639693,42.61,2015-05-20
"A",42.32,2123464,42.32,2015-05-21
"A",42.5,1483858,42.5,2015-05-22
"AA",13.19,45965202,13.19,2015-04-23
"AA",13.22,20394902,13.22,2015-04-24
"AA",13.45,28556092,13.45,2015-04-27
"AA",13.48,14865223,13.48,2015-04-28
"AA",13.6,14878797,13.6,2015-04-29
"AA",13.42,24052921,13.42,2015-04-30
"AA",14.15,50256873,14.15,2015-05-01
"AA",14.01,17513378,14.01,2015-05-04
"AA",13.82,15664885,13.82,2015-05-05
"AA",13.7,13867028,13.7,2015-05-06
"AA",13.71,12842924,13.71,2015-05-07
"AA",13.82,12531536,13.82,2015-05-08
"AA",13.65,10932607,13.65,2015-05-11
"AA",13.55,12292815,13.55,2015-05-12
"AA",13.63,15292771,13.63,2015-05-13
"AA",13.64,11149462,13.64,2015-05-14
"AA",13.54,9285217,13.54,2015-05-15
"AA",13.4,15516266,13.4,2015-05-18
"AA",13.08,30764747,13.08,2015-05-19
"AA",13.07,16262984,13.07,2015-05-20
"AA",13,16853907,13,2015-05-21
"AA",12.94,13086772,12.94,2015-05-22
"AAL",51.45,9695994,51.343665392167,2015-04-23
"AAL",52.705,20057800,52.596071613103,2015-04-24
"AAL",51.87,8671095,51.762797354552,2015-04-27
"AAL",51.19,9177539,51.084202748786,2015-04-28
"AAL",48.88,17990936,48.778976955668,2015-04-29
"AAL",48.285,9360937,48.285,2015-04-30
"AAL",49.39,8056596,49.39,2015-05-01
"AAL",48.95,5589831,48.95,2015-05-04
"AAL",47.005,11384951,47.005,2015-05-05
"AAL",47.045,10116405,47.045,2015-05-06
"AAL",49.06,11427992,49.06,2015-05-07
"AAL",49.04,6478195,49.04,2015-05-08
"AAL",49.645,8036689,49.645,2015-05-11
"AAL",48.85,6820544,48.85,2015-05-12
"AAL",48.49,8408434,48.49,2015-05-13
"AAL",48.815,7980104,48.815,2015-05-14
"AAL",48.69,6626391,48.69,2015-05-15
"AAL",49,6126201,49,2015-05-18
"AAL",47.84,14854453,47.84,2015-05-19
"AAL",43.06,51195920,43.06,2015-05-20
"AAL",42.47,23760334,42.47,2015-05-21
"AAL",42.59,16068717,42.59,2015-05-22
